ピーマンの肉詰め,和食,焼き物,300,30,728,48.7,36.2,30.7,ひき肉,ピーマン,胡椒,ピーマン,https://cookpad.com/search/%E8%82%89%E8%A9%B0%E3%82%81%E3%83%94%E3%83%BC%E3%83%9E%E3%83%B3
カツとじ,和食,煮物,400,30,540,32.7,35,20,豚肉,小麦粉,卵,なし,https://cookpad.com/search/%E3%82%AB%E3%83%84%E3%81%A8%E3%81%98
鰹たたき,和食,焼き物,400,10,155,27.8,0.66,6.6,鰹,鰹節,醤油,鰹,https://cookpad.com/search/%E9%B0%B9%E3%81%9F%E3%81%9F%E3%81%8D
生姜焼き,和食,焼き物,600,40,680,41.6,50.4,16.2,豚肉,豚バラ,醤油,生姜,https://cookpad.com/search/%E3%81%97%E3%82%87%E3%81%86%E3%81%8C%E7%84%BC%E3%81%8D
鳥の照り焼き,和食,焼き物,500,30,620,61.4,60.2,17.8,鶏肉,鶏もも,醤油,鶏肉,https://cookpad.com/search/%E9%B6%8F%E3%81%AE%E7%85%A7%E3%82%8A%E7%84%BC%E3%81%8D
豚の角煮,和食,焼き物,700,120,800,19.5,56.3,22.4,豚肉,醤油,生姜,大根,https://cookpad.com/search/%E8%B1%9A%E3%81%AE%E8%A7%92%E7%85%AE
和風ハンバーグ,和食,焼き物,400,30,395,31.4,30.2,42.7,豚肉,豚ひき肉,醤油,大根,https://cookpad.com/search/%E5%92%8C%E9%A2%A8%E3%83%8F%E3%83%B3%E3%83%90%E3%83%BC%E3%82%B0
イカ焼き,和食,焼き物,200,20,445,19.1,19.7,43.9,イカ,醤油,みりん,イカ,https://cookpad.com/search/%E3%82%A4%E3%82%AB%E7%84%BC%E3%81%8D
たこ焼き,和食,焼き物,400,30,317,12.5,8.1,44.9,タコ,小麦粉,天かす,タコ,https://cookpad.com/search/%E3%81%9F%E3%81%93%E7%84%BC%E3%81%8D
お好み焼き,和食,焼き物,400,30,545,19.7,22.9,60.3,豚肉,小麦粉,キャベツ　,キャベツ　,https://cookpad.com/search/%E3%81%8A%E5%A5%BD%E3%81%BF%E7%84%BC%E3%81%8D
カレイの煮つけ,和食,焼き物,350,30,317,50.4,3.2,12.7,カレイ,しょうゆ,みりん,カレイ,https://cookpad.com/pro/recipes/3170873
鶏そぼろ,和食,焼き物,400,20,237,24.1,9.2,9.2,鶏ひき肉,卵,ほうれん草,ほうれん草,https://cookpad.com/search/%E9%B6%8F%E3%81%9D%E3%81%BC%E3%82%8D
豚しゃぶサラダ,和食,焼き物,320,10,300,22.5,19.5,13.2,豚肉,豚肉,ネギ,ネギ,https://cookpad.com/search/%E8%B1%9A%E3%81%97%E3%82%83%E3%81%B6%E3%82%B5%E3%83%A9%E3%83%80
カニカマサラダ,和食,焼き物,400,15,50,3.6,0.2,1.7,カニカマ,マヨネーズ,コーン,カニカマ,https://cookpad.com/search/%E3%82%AB%E3%83%8B%E3%82%AB%E3%83%9E%E3%82%B5%E3%83%A9%E3%83%80
オムライス,洋食,焼き物,470,50,850,28.3,30,108,ご飯,たまご,たまねぎ,鶏肉,https://cookpad.com/search/%E3%82%AA%E3%83%A0%E3%83%A9%E3%82%A4%E3%82%B9
ハンバーグ,洋食,焼き物,350,45,268,16,16,15,ひき肉,たまねぎ,にんじん,たまねぎ,https://cookpad.com/search/%E3%83%8F%E3%83%B3%E3%83%90%E3%83%BC%E3%82%B0
ナポリタン,洋食,焼き物,320,40,590,19.1,20.8,78.7,スパゲッティ,ベーコン,たまねぎ,ピーマン,https://cookpad.com/search/%E3%83%8A%E3%83%9D%E3%83%AA%E3%82%BF%E3%83%B3
