料理名,料理国,料理ジャンル,2人前価格,料理所要時間,カロリー,タンパク質量,脂質量,炭水化物量,よく使われる主食材,料理の主食材,主食材,旬の食材,クックパッドの料理名検索リンク
麻婆豆腐,中華,焼き物,400,40,341,20,23.2,10.1,木綿豆腐,豚ひき肉,木綿豆腐,ねぎ,https://cookpad.com/search/%E9%BA%BB%E5%A9%86%E8%B1%86%E8%85%90
回鍋肉,中華,焼き物,400,30,241,7.4,19.1,9,豚肉,キャベツ,豚肉,ピーマン,https://cookpad.com/search/%E5%9B%9E%E9%8D%8B%E8%82%89?order=
八宝菜,中華,焼き物,400,30,353,17.1,24.6,12.5,白菜,きくらげ,白菜,白菜,https://cookpad.com/search/%E5%85%AB%E5%AE%9D%E8%8F%9C?order=
酢豚,中華,焼き物,500,30,242,13.1,10.6,22.6,豚もも肉,豚もも肉,豚もも肉,タケノコ,https://cookpad.com/search/%E9%85%A2%E8%B1%9A?order=
春巻き,中華,揚げ物,600,30,596,10.7,17.6,21.4,豚ひき肉,豚ひき肉,春巻きの皮,キャベツ,https://cookpad.com/search/%E6%98%A5%E5%B7%BB%E3%81%8D?order=
餃子,中華,焼き物,300,30,236,8.5,9.7,28.5,豚ひき肉,豚ひき肉,餃子の皮,キャベツ,https://cookpad.com/search/%E9%A4%83%E5%AD%90?order=
青椒肉絲,中華,焼き物,500,30,318,16.2,23,9,豚肉,豚肉,ピーマン,ピーマン,https://cookpad.com/search/%E9%9D%92%E6%A4%92%E8%82%89%E7%B5%B2?order=
エビチリ,中華,焼き物,400,30,212,16.2,10.6,10.1,クルマエビ,クルマエビ,チリソース,ねぎ,https://cookpad.com/search/%E3%82%A8%E3%83%93%E3%83%81%E3%83%AA?order=
麻婆茄子,中華,焼き物,400,20,171,8.6,11.1,6.9,ナス,豚ひき肉,ナス,ナス,https://cookpad.com/search/%E9%BA%BB%E5%A9%86%E8%8C%84%E5%AD%90?order=
棒棒鶏,中華,焼き物,300,30,400,28.6,25.8,13.3,鶏むね肉,鶏むね肉,きゅうり,きゅうり,https://cookpad.com/search/%E6%A3%92%E6%A3%92%E9%B6%8F?order=
炒飯,中華,焼き物,200,20,708,18.9,24,97.6,白米,白米,卵,ねぎ,https://cookpad.com/search/%E7%82%92%E9%A3%AF?order=
担々麺,中華,煮物,400,40,796,34.3,35.1,82.5,中華麺,中華麺,豚ひき肉,チンゲンサイ,https://cookpad.com/search/%E6%8B%85%E3%80%85%E9%BA%BA?order=
天津飯,中華,焼き物,200,30,471,17.9,11.5,67.8,卵,ご飯,卵,ねぎ,https://cookpad.com/search/%E5%A4%A9%E6%B4%A5%E9%A3%AF?order=
ビビンパ,韓国,焼き物,600,50,593,17.4,27.2,67.6,ご飯,ご飯,大豆もやし,ぜんまい,https://cookpad.com/search/%E3%83%93%E3%83%93%E3%83%B3%E3%83%90?order=
卵スープ,中華,煮物,200,20,51,4.3,2.4,1.9,卵,卵,ねぎ,ねぎ,https://cookpad.com/search/%E5%8D%B5%E3%82%B9%E3%83%BC%E3%83%97?order=
麻婆春雨,中華,焼き物,400,30,171,6.2,8.3,15.1,春雨,春雨,豚ひき肉,ねぎ,https://cookpad.com/search/%E9%BA%BB%E5%A9%86%E6%98%A5%E9%9B%A8?order=
焼売,中華,蒸し物,300,30,150,1.3,1.5,2.7,豚ひき肉,豚ひき肉,干しシイタケ,玉ねぎ,https://cookpad.com/search/%E3%82%B7%E3%83%A5%E3%82%A6%E3%83%9E%E3%82%A4?order=
中華まん,中華,蒸し物,500,60,190,5.9,7,24.5,豚ひき肉,小麦粉,豚ひき肉,ねぎ,https://cookpad.com/search/%E4%B8%AD%E8%8F%AF%E3%81%BE%E3%82%93?order=
杏仁豆腐,中華,デザート,200,150,181,2.2,2.1,40.5,杏仁霜,牛乳,粉ゼラチン,クコの実,https://cookpad.com/search/%E6%9D%8F%E4%BB%81%E8%B1%86%E8%85%90?order=
ゴマ団子,中華,デザート,300,30,118,1.9,6.2,13.5,こしあん,コーンスターチ,白玉粉,白ゴマ,https://cookpad.com/search/%E8%83%A1%E9%BA%BB%E5%9B%A3%E5%AD%90?order=
小籠包,中華,蒸し物,500,90,159,2.8,1.9,5.2,豚ひき肉,餃子の皮,豚ひき肉,ねぎ,https://cookpad.com/search/%E5%B0%8F%E7%B1%A0%E5%8C%85?order=
冷やし中華,中華,煮物,500,30,577,20.5,9.7,92.4,中華麺,卵,プレスハム,きゅうり,https://cookpad.com/search/%E5%86%B7%E3%82%84%E3%81%97%E4%B8%AD%E8%8F%AF?order=
五目麺,中華,煮物,300,20,660,25,23.4,81.8,中華麺,豚肉,白菜,にんじん,https://cookpad.com/search/%E4%BA%94%E7%9B%AE%E9%BA%BA?order=
油淋鶏,中華,焼き物,400,30,965,45.7,68.8,30.9,鶏肉,鶏肉,おろしにんにく,ねぎ,https://cookpad.com/search/%E6%B2%B9%E6%B7%8B%E9%B6%8F?order=
よだれ鶏,中華,焼き物,300,20,354,20.4,17.6,24.6,鶏むね肉,ラー油,おろしにんにく,ねぎ,https://cookpad.com/search/%E3%82%88%E3%81%A0%E3%82%8C%E9%B6%8F?order=
